pressure_psi,Pb_psi,Rs_scf_per_STB,Bo_bbl_per_STB,mu_o_cP,regimen,is_Pb_point
500,1057.8786034311795,250.9445116441762,1.1848525190680876,1.0528892369756053,saturado,False
750,1057.8786034311795,401.06015886426826,1.2598420581979006,0.81627712911255,saturado,False
1000,1057.8786034311795,561.5937737794001,1.343405197913482,0.6716371573639051,saturado,False
1057.8786034311795,1057.8786034311795,600.0000000000002,1.3638468895192175,0.64582619090944,saturado,True
1250,1057.8786034311795,600.0,1.3638468895192175,0.6578139523955071,sub-saturado,False
1500,1057.8786034311795,600.0,1.3638468895192175,0.6767175144344518,sub-saturado,False
1750,1057.8786034311795,600.0,1.3638468895192175,0.6989694371164721,sub-saturado,False
2000,1057.8786034311795,600.0,1.3638468895192175,0.724271942398752,sub-saturado,False
2250,1057.8786034311795,600.0,1.3638468895192175,0.7524106436996255,sub-saturado,False
2500,1057.8786034311795,600.0,1.3638468895192175,0.7832246519181425,sub-saturado,False
2750,1057.8786034311795,600.0,1.3638468895192175,0.8165879061620671,sub-saturado,False
3000,1057.8786034311795,600.0,1.3638468895192175,0.8523968938826564,sub-saturado,False
3250,1057.8786034311795,600.0,1.3638468895192175,0.890562238469218,sub-saturado,False
3500,1057.8786034311795,600.0,1.3638468895192175,0.9310027494726641,sub-saturado,False
3750,1057.8786034311795,600.0,1.3638468895192175,0.9736411112958292,sub-saturado,False
4000,1057.8786034311795,600.0,1.3638468895192175,1.0184007061078928,sub-saturado,False
4250,1057.8786034311795,600.0,1.3638468895192175,1.0652032514634104,sub-saturado,False
4500,1057.8786034311795,600.0,1.3638468895192175,1.1139670439119242,sub-saturado,False
